iter	Accuracy	MultiClass
0	0.7087752525	1.061206268
1	0.7143939394	1.028216798
2	0.721969697	0.9978215429
3	0.7240951178	0.9704177679
4	0.7242845118	0.9455135482
5	0.7239478114	0.9229975038
6	0.7258417508	0.9022621469
7	0.7314604377	0.8824910747
8	0.729040404	0.8657304003
9	0.7328072391	0.8491788646
10	0.7344486532	0.8343661943
11	0.7340277778	0.8205571825
12	0.735206229	0.8084038224
13	0.7363846801	0.796673052
14	0.7364057239	0.786294294
15	0.7371001684	0.7756380095
16	0.7386363636	0.7659547849
17	0.7388047138	0.7572323642
18	0.7396464646	0.7484992869
19	0.7409090909	0.7404336295
20	0.741456229	0.7328194481
21	0.7427609428	0.7247426755
22	0.7443602694	0.7170992648
23	0.7457281145	0.7098246535
24	0.7457281145	0.7040040975
25	0.746506734	0.69759457
26	0.7470117845	0.6929187932
27	0.7470117845	0.688316833
28	0.7478114478	0.6828447537
29	0.748526936	0.6785464015
30	0.7487373737	0.6743940769
31	0.7493265993	0.6707215362
32	0.7499158249	0.6666764909
33	0.75128367	0.6625217389
34	0.7518518519	0.6590647867
35	0.7526725589	0.6555808224
36	0.7525042088	0.6522831398
37	0.7521675084	0.649672494
38	0.7530934343	0.6468055884
39	0.7534090909	0.6439473369
40	0.7552819865	0.6410711429
41	0.7558922559	0.6384915634
42	0.7564814815	0.6361064535
43	0.7570496633	0.6339359491
44	0.7574284512	0.6315338924
45	0.7578703704	0.6292171611
46	0.7579545455	0.6274439552
47	0.7582491582	0.6257500484
48	0.7587752525	0.6236455719
49	0.7592382155	0.6218100726
50	0.7599747475	0.6200419776
51	0.7604587542	0.6185461025
52	0.760479798	0.6169858439
53	0.7605850168	0.6157975838
54	0.7613636364	0.6145922131
55	0.7615951178	0.6130305163
56	0.7625420875	0.6113347908
57	0.7631523569	0.6098203848
58	0.7634048822	0.6081626709
59	0.7636574074	0.6063828209
60	0.7639520202	0.6051387328
61	0.7638468013	0.6042755721
62	0.7640151515	0.6031481048
63	0.7640782828	0.6018596737
64	0.7645412458	0.6006848407
65	0.7646885522	0.5995855811
66	0.765256734	0.5981695273
67	0.7654040404	0.5974105766
68	0.7655723906	0.5964606398
69	0.7657828283	0.5955458639
70	0.7658249158	0.5945695158
71	0.7661616162	0.593823507
72	0.7664351852	0.5927811986
73	0.7665614478	0.5917711854
74	0.7667929293	0.5910385583
75	0.7668981481	0.5905119744
76	0.7671717172	0.5898062484
77	0.7672348485	0.5889332216
78	0.7672558923	0.5881978574
79	0.7675294613	0.5873795245
80	0.7676136364	0.5865099948
81	0.7683291246	0.5855077987
82	0.7686026936	0.5848980009
83	0.7688131313	0.5840986795
84	0.7687920875	0.5836649468
85	0.7691498316	0.5828767918
86	0.7690446128	0.5822367679
87	0.7691708754	0.5814979917
88	0.7692550505	0.5808947512
89	0.7693602694	0.5804330429
90	0.7695075758	0.5801609926
91	0.7697180135	0.5794288555
92	0.769760101	0.5789604661
93	0.7699284512	0.5784910402
94	0.7701599327	0.5776778035
95	0.7701599327	0.5770216417
96	0.7702441077	0.5765844082
97	0.7703703704	0.576221012
98	0.7705597643	0.5755562343
99	0.7708333333	0.5750112183
100	0.7708543771	0.5743912003
101	0.7709806397	0.5738725314
102	0.7714015152	0.5732477237
103	0.7714225589	0.5728285859
104	0.7714436027	0.5722061303
105	0.771780303	0.5716650972
106	0.7720328283	0.5710869359
107	0.7721590909	0.5708547822
108	0.7722222222	0.5704210146
109	0.7722222222	0.5701048442
110	0.7721170034	0.5698075022
111	0.7720749158	0.5695521104
112	0.7721801347	0.5689677166
113	0.7725799663	0.5684011743
114	0.7726220539	0.5681558461
115	0.7727272727	0.5678230714
116	0.7728745791	0.5674022235
117	0.7728114478	0.567086743
118	0.7730850168	0.5667345766
119	0.7730008418	0.5665335449
120	0.7731902357	0.5660808714
121	0.7732744108	0.5657530195
122	0.773253367	0.5654243315
123	0.7735058923	0.5651336127
124	0.7735900673	0.5648810416
125	0.7738425926	0.5644111773
126	0.7738425926	0.5640401803
127	0.7740109428	0.5636855082
128	0.7741161616	0.5633803989
129	0.774263468	0.5631158179
130	0.7741161616	0.5626383513
131	0.7742003367	0.5623601748
132	0.7743265993	0.5619126407
133	0.7745159933	0.561731691
134	0.7745159933	0.5614093037
135	0.7746632997	0.5608978485
136	0.7748737374	0.5604800157
137	0.7747685185	0.5601916177
138	0.7747895623	0.5598583729
139	0.7751683502	0.5594846657
140	0.775273569	0.5591848694
141	0.7755260943	0.5589783108
142	0.7756313131	0.5587552107
143	0.7755050505	0.5585863753
144	0.7758627946	0.5583263791
145	0.7759259259	0.5579581818
146	0.7763257576	0.5575625954
147	0.7764520202	0.5573546425
148	0.7765361953	0.557085919
149	0.7768097643	0.55669346
150	0.7770833333	0.5562999072
151	0.7772306397	0.556109645
152	0.7773148148	0.5560036554
153	0.7774410774	0.5556554888
154	0.7774410774	0.5553906911
155	0.7773989899	0.5552812919
156	0.7775883838	0.5549634232
157	0.7774621212	0.5547115927
158	0.7777356902	0.55446685
159	0.7778829966	0.5540598646
160	0.7777988215	0.5538714772
161	0.7778829966	0.5537269758
162	0.7779671717	0.5535320282
163	0.7780934343	0.553231612
164	0.7782407407	0.5531006366
165	0.7784722222	0.5528495203
166	0.7784090909	0.5525026503
167	0.778493266	0.552176573
168	0.7784090909	0.5520771241
169	0.7785143098	0.5517348732
170	0.7786826599	0.5513716082
171	0.7786195286	0.5510517754
172	0.7786826599	0.5508647357
173	0.7787247475	0.5505752066
174	0.7787247475	0.5503358035
175	0.778766835	0.550267018
176	0.778766835	0.5501336713
177	0.7787878788	0.5500575527
178	0.778766835	0.5499076347
179	0.7789351852	0.5495552389
180	0.7788720539	0.5493392384
181	0.7790193603	0.5489914903
182	0.7791877104	0.5488540144
183	0.7792508418	0.548710104
184	0.7793139731	0.5486010958
185	0.7793560606	0.5483036515
186	0.7793560606	0.5481470978
