iter	Passed	Remaining
0	147	294938
1	326	326115
2	581	387016
3	779	388770
4	1053	420505
5	1398	464710
6	1620	461455
7	1818	452765
8	2005	443597
9	2235	444797
10	2470	446787
11	2670	442334
12	2886	441117
13	3114	441847
14	3355	444042
15	3552	440515
16	3760	438626
17	3957	435732
18	4159	433663
19	4347	430383
20	4780	450490
21	5080	456785
22	5368	461472
23	5576	459164
24	5887	465139
25	6196	470432
26	6389	466916
27	6629	466873
28	6833	464466
29	7125	467912
30	7326	465338
31	7496	461038
32	7674	457430
33	7885	455948
34	8072	453228
35	8297	452677
36	8492	450556
37	8696	448999
38	8901	447569
39	9094	445624
40	9312	444952
41	9508	443254
42	9697	441328
43	9876	439041
44	10083	438091
45	10272	436364
46	10464	434839
47	10642	432811
48	10813	430571
49	11007	429280
50	11209	428368
51	11399	427036
52	11637	427527
53	11818	425920
54	11993	424128
55	12176	422712
56	12375	421852
57	12549	420202
58	12744	419269
59	12924	417899
60	13125	417225
61	13298	415687
62	13483	414576
63	13698	414377
64	13900	413800
65	14096	413056
66	14281	412045
67	14460	410843
68	14664	410397
69	14867	409927
70	15056	409065
71	15231	407865
72	15421	407095
73	15619	406527
74	15792	405350
75	16023	405650
76	16220	405082
77	16434	404964
78	16637	404574
79	16832	403984
80	17035	403583
81	17228	402986
82	17429	402551
83	17626	402060
84	17801	401054
85	18012	400880
86	18200	400199
87	18380	399362
88	18583	399014
89	18746	397831
90	18944	397408
91	19113	396395
92	19308	395926
93	19508	395572
94	19722	395485
95	19955	395793
96	20208	396460
97	20475	397386
98	20744	398344
99	21026	399497
100	21250	399542
101	21458	399303
102	21654	398817
103	21869	398696
104	22067	398273
105	22245	397477
106	22446	397111
107	22622	396313
108	22827	396025
109	23039	395868
110	23237	395458
111	23473	395693
112	23698	395746
113	23899	395385
114	24084	394770
115	24248	393835
116	24420	393017
117	24586	392138
118	24745	391141
119	24889	389932
120	25039	388830
121	25213	388125
122	25391	387480
123	25565	386782
124	25728	385928
125	25903	385263
126	26063	384382
127	26252	383937
128	26465	383846
129	26654	383413
130	26823	382700
131	27020	382378
132	27227	382204
133	27441	382136
134	27635	381785
135	27844	381632
136	28050	381446
137	28253	381216
138	28511	381724
139	28768	382210
140	29007	382448
141	29497	385961
142	29856	387718
143	30140	388473
144	30309	387750
145	30482	387088
146	30687	386833
147	30884	386471
148	31140	386856
149	31358	386749
150	31615	387134
151	31917	388049
152	32131	387886
153	32339	387654
154	32625	388352
155	32933	389287
156	33160	389271
157	33368	389021
158	33552	388495
159	33726	387851
160	33899	387207
161	34118	387093
162	34333	386932
163	34525	386519
164	34762	386595
165	34971	386366
166	35174	386076
167	35375	385765
168	35578	385468
169	35776	385126
170	35975	384788
171	36167	384389
172	36349	383873
173	36507	383114
174	36666	382374
175	36847	381875
176	37036	381455
177	37206	380849
178	37374	380215
179	37558	379754
180	37721	379086
181	37907	378661
182	38084	378139
183	38245	377464
184	38406	376803
185	38578	376240
186	38760	375790
187	38919	375115
188	39064	374318
189	39257	373980
190	39428	373435
191	39582	372738
192	39738	372062
193	39891	371361
194	40065	370864
195	40219	370187
196	40381	369585
197	40513	368717
198	40666	368045
199	40843	367592
200	40994	366909
201	41135	366143
202	41284	365462
203	41443	364863
204	41619	364420
205	41785	363900
206	41960	363457
207	42119	362878
208	42287	362378
209	42453	361867
210	42620	361368
211	42816	361110
212	42990	360676
213	43130	359957
214	43274	359282
215	43444	358823
216	43619	358403
217	43788	357944
218	43978	357651
219	44147	357191
220	44354	357044
221	44633	357466
222	44819	357146
223	45007	356841
224	45193	356522
225	45393	356319
226	45597	356144
227	45794	355913
228	45981	355604
229	46171	355322
230	46348	354935
231	46522	354531
232	46699	354156
233	46847	353561
234	47022	353170
235	47181	352665
236	47356	352279
237	47522	351824
238	47692	351405
239	47860	350977
240	48050	350711
241	48218	350282
242	48356	349640
243	48503	349068
244	48675	348676
245	48844	348263
246	49018	347891
247	49173	347389
248	49337	346949
249	49500	346500
250	49647	345949
251	49855	345823
252	50025	345433
253	50193	345028
254	50391	344835
255	50589	344638
256	50785	344433
257	50991	344288
258	51181	344039
259	51407	344034
260	51583	343691
261	51800	343620
262	51993	343392
263	52196	343229
264	52434	343294
265	53031	345703
266	53283	345843
267	53465	345528
268	53680	345433
269	53903	345383
270	54091	345108
271	54284	344867
272	54475	344614
273	54640	344193
274	54816	343849
275	54951	343248
276	55131	342927
277	55318	342653
278	55495	342324
279	55673	341994
280	55855	341694
281	56049	341467
282	56255	341309
283	56449	341081
284	56613	340671
285	56796	340382
286	56977	340079
287	57150	339729
288	57306	339278
289	57486	338972
290	57649	338567
291	57825	338237
292	58008	337951
293	58158	337477
294	58328	337120
295	58490	336714
296	58665	336390
297	58845	336089
298	59012	335719
299	59202	335480
300	59376	335153
301	59545	334796
302	59717	334455
303	59886	334102
304	60073	333850
305	60264	333622
306	60452	333377
307	60604	332929
308	60763	332530
309	60931	332177
310	61111	331886
311	61275	331516
312	61450	331205
313	61643	330990
314	61810	330639
315	61982	330312
316	62175	330100
317	62378	329938
318	62555	329643
319	62733	329351
320	62896	328982
321	63053	328581
322	63246	328370
323	63419	328061
324	63601	327791
325	63776	327489
326	63926	327059
327	64109	326800
328	64292	326544
329	64504	326431
330	64674	326105
331	64842	325772
332	65012	325452
333	65184	325143
334	65325	324676
335	65494	324354
336	65658	324007
337	65808	323589
338	65980	323284
339	66158	323008
340	66337	322738
341	66513	322455
342	66710	322274
343	66911	322110
344	67119	321979
345	67282	321631
346	67453	321327
347	67625	321027
348	67805	320763
349	67973	320446
350	68153	320185
351	68340	319958
352	68506	319631
353	68684	319362
354	68949	319500
355	69161	319385
356	69338	319114
357	69510	318816
358	69688	318547
359	69872	318309
360	70073	318147
361	70292	318064
362	70497	317916
363	70706	317791
364	70913	317654
365	71116	317497
366	71351	317483
367	71596	317517
368	71824	317467
369	72042	317377
370	72247	317228
371	72543	317475
372	72893	317956
373	73485	319483
374	73783	319729
375	74208	320519
376	74485	320663
377	74856	321211
