iter	MultiClass
0	0.9325301392
1	0.8213850239
2	0.7573056109
3	0.6996456375
4	0.6665601248
5	0.637555837
6	0.616932351
7	0.5976997479
8	0.5841563777
9	0.5721195006
10	0.5623086668
11	0.5523574297
12	0.5416223405
13	0.5295630665
14	0.5236796913
15	0.5174496433
16	0.5115434099
17	0.5082570824
18	0.5051132347
19	0.5013503484
20	0.4978470249
21	0.4959392134
22	0.4941069203
23	0.4905829418
24	0.4898286143
25	0.4857966193
26	0.4833358667
27	0.4822984773
28	0.4810441978
29	0.4764619709
30	0.4715543851
31	0.4683913048
32	0.4650782814
33	0.4604677693
34	0.4575839755
35	0.4543754786
36	0.451281295
37	0.4495154849
38	0.4474286257
39	0.4441407299
40	0.4404418984
41	0.4381118157
42	0.4367015663
43	0.4351130195
44	0.4337325057
45	0.4316517475
46	0.4305146105
47	0.4291709515
48	0.4258739501
49	0.4242566215
50	0.4227471878
51	0.4211512055
52	0.418238972
53	0.4178431429
54	0.4170043787
55	0.4156824639
56	0.4127875954
57	0.4117133735
58	0.4102659984
59	0.4081473072
60	0.4057999676
61	0.4043348306
62	0.4035166017
63	0.4013014057
64	0.3987379764
65	0.3971440407
66	0.3959827594
67	0.395311236
68	0.3933423436
69	0.3931301208
70	0.3921970736
71	0.391127511
72	0.3899557084
73	0.3895909069
74	0.3877868276
75	0.3857940444
76	0.3851408319
77	0.3809366279
78	0.3796451546
79	0.3783430192
80	0.3750501895
81	0.3740747539
82	0.3728669092
83	0.3719251415
84	0.3698859506
85	0.3690141091
86	0.3681623014
87	0.3678596518
88	0.3672100102
89	0.3661407441
90	0.3656497527
91	0.3648076388
92	0.3644441127
93	0.3640869075
94	0.3620839764
95	0.3598136158
96	0.3591196452
97	0.3570969909
98	0.3559164542
99	0.3552056264
