iter	Passed	Remaining
0	121	11991
1	174	8574
2	221	7172
3	275	6616
4	320	6092
5	370	5804
6	415	5519
7	465	5349
8	514	5203
9	566	5094
10	614	4971
11	660	4842
12	709	4750
13	758	4660
14	802	4546
15	847	4447
16	893	4363
17	953	4345
18	1011	4312
19	1072	4289
20	1139	4287
21	1190	4219
22	1241	4156
23	1311	4152
24	1389	4167
25	1458	4150
26	1518	4105
27	1579	4060
28	1626	3981
29	1679	3919
30	1728	3847
31	1774	3771
32	1821	3698
33	1873	3636
34	1920	3566
35	1976	3514
36	2026	3450
37	2074	3384
38	2127	3327
39	2178	3268
40	2228	3207
41	2279	3147
42	2328	3086
43	2373	3021
44	2424	2963
45	2475	2905
46	2533	2856
47	2574	2788
48	2623	2730
49	2679	2679
50	2727	2620
51	2781	2567
52	2831	2510
53	2879	2452
54	2936	2402
55	2989	2348
56	3041	2294
57	3088	2236
58	3141	2183
59	3192	2128
60	3247	2076
61	3293	2018
62	3342	1962
63	3398	1911
64	3456	1861
65	3499	1802
66	3544	1745
67	3592	1690
68	3643	1636
69	3696	1584
70	3745	1529
71	3796	1476
72	3847	1422
73	3898	1369
74	3949	1316
75	4001	1263
76	4058	1212
77	4114	1160
78	4176	1110
79	4222	1055
80	4276	1003
81	4332	950
82	4385	898
83	4432	844
84	4485	791
85	4527	737
86	4577	683
87	4621	630
88	4674	577
89	4726	525
90	4783	473
91	4833	420
92	4887	367
93	4940	315
94	4986	262
95	5039	209
96	5097	157
97	5144	104
98	5187	52
99	5242	0
